col1,col3
,This Week
KEY FIGURES FOR WEEK ENDING,26/6/2023
Number of cows on farm,360
Cows in milk,26
Average kg MS / cow / day,0.00
kg MS / ha / day,0.00
kg MS / cow YTD,0
kg MS / ha YTD,0
Average pasture cover ( kg DM / ha ),2196
Average growth rates ( kg DM / ha / day ),27
Round length ( whole farm / grass area ),92/86
Soil temperature ( average oC @ 100mm depth ),13.1
Soil moisture deficit ( 0-300mm depth ),-3.4
kg DM pasture offered dry cows / milkers,D - 6.5 / M - 12
kg DM silage / hay fed - average all cows,2.5
kg DM PKE fed - average all cows,0.8
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),6
kg N applied / ha YTD,0
FEI grade result,0.0
Excellence Quality,96
Protein : Fat ratio,0.0
SCC,0
