col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,25/9/2023
Number of cows on farm,346
Cows in milk,345
Average kg MS / cow / day,2.09
kg MS / ha / day,5.11
kg MS / cow YTD,111
kg MS / ha YTD,285
Average pasture cover ( kg DM / ha ),2123
Average growth rates ( kg DM / ha / day ),50
Round length ( whole farm / grass area ),26/25
Soil temperature ( average oC @ 100mm depth ),16.3
Soil moisture deficit ( 0-300mm depth ),1.8
kg DM pasture offered dry cows / milkers,D - 0 / M - 18
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,1.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),458
kg N applied / ha YTD,39
FEI grade result,6.2
Excellence Quality,85%
Protein : Fat ratio,0.8
SCC,128
