col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,30/01/2023
Number of cows on farm,351
Cows in milk,350
Average kg MS / cow / day,1.25
kg MS / ha / day,3.16
kg MS / cow YTD,318
kg MS / ha YTD,863
Average pasture cover ( kg DM / ha ),2442
Average growth rates ( kg DM / ha / day ),66
Round length ( whole farm / grass area ),33/28
Soil temperature ( average ° C @ 100mm depth ),23.0
Soil moisture deficit ( 0-300mm depth ),0.7
kg DM pasture offered dry cows / milkers,D - 0 / M - 22.51
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,3.0
YTD supplement used ( kg DM / cow ),502
kg N applied / ha YTD,80
FEI grade result,4.7
Excellence Quality,77%
Protein : Fat ratio,0.7
SCC,285
