col1,col3
,This Week
KEY FIGURES FOR WEEK ENDING,19/6/2023
Number of cows on farm,360
Cows in milk,1
Average kg MS / cow / day,0.00
kg MS / ha / day,0.00
kg MS / cow YTD,0
kg MS / ha YTD,0
Average pasture cover ( kg DM / ha ),2154
Average growth rates ( kg DM / ha / day ),22
Round length ( whole farm / grass area ),75/69
Soil temperature ( average oC @ 100mm depth ),10.1
Soil moisture deficit ( 0-300mm depth ),-0.5
kg DM pasture offered dry cows / milkers,D - 8 / M - 0
kg DM sillage / hay fed - average all cows,2.4
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),43
kg N applied / ha YTD,0
FEI grade result,0.0
Excellence Quality,0%
Protein : Fat ratio,0.0
SCC,0
