col1,col3
KEY FIGURES FOR WEEK ENDING,This week
KEY FIGURES FOR WEEK ENDING,7/8/2023
Number of cows on farm,354
Cows in milk,251
Average kg MS / cow / day,1.91
kg MS / ha / day,3.16
kg MS / cow YTD,26
kg MS / ha YTD,66
Average pasture cover ( kg DM / ha ),1983
Average growth rates ( kg DM / ha / day ),23
Round length ( whole farm / grass area ),43/42
Soil temperature ( average oc @ 100mm depth ),10.6
Soil moisture deficit ( 0-300mm depth ),1.1
kg DM pasture offered dry cows / milkers,D - 5 / M - 13
kg DM silage / hay fed - average all cows,2.8
kg DM PKE fed - average all cows,3.0g
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),264
kg N applied / ha YTD,11
FEI grade result,5.8
Excellence Quality,729
Protein : Fat ratio,0.7
SCC,114
