col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,4/12/2023
Number of cows on farm,342
Cows in milk,342
Average kg MS / cow / day,1.78
kg MS / ha / day,4.32
kg MS / cow YTD,237
kg MS / ha YTD,617
Average pasture cover ( kg DM / ha ),2148
Average growth rates ( kg DM / ha / day ),77
Round length ( whole farm / grass area ),23/20
Soil temperature ( average oC 100mm depth ),30.1
Soil moisture deficit ( 0-300mm depth ),4.08
kg DM pasture offered dry cows / milkers,D - 0 / M - 18.5
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.8
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),469
kg N applied / ha YTD,60
FEI grade result,6.6 ?
Excellence Quality,84%
Protein : Fat ratio,0.8
SCC,121
