col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,20/11/2023
Number of cows on farm,345
Cows in milk,342
Average kg MS / cow / day,1.80
kg MS / ha / day,4.37
kg MS / cow YTD,214
kg MS / ha YTD,557
Average pasture cover ( kg DM / ha ),2410
Average growth rates ( kg DM / ha / day ),89
Round length ( whole farm / grass area ),28/25
Soil temperature ( average oc @ 100mm depth ),19.5
Soil moisture deficit ( 0-300mm depth ),1.6
kg DM pasture offered dry cows / milkers,D - 0 / M - 19
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed- average all cows,0.0
YTD supplement used ( kg DM / cow ),458
kg N applied / ha YTD,59
FEI grade result,4.9
Excellence Quality,83%
Protein : Fat ratio,0.8
SCC,157
