col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,17/7/2023
Number of cows on farm,354
Cows in milk,165
Average kg MS / cow / day,1.54
kg MS / ha / day,1.35
kg MS / cow YTD,4
kg MS / ha YTD,11
Average pasture cover ( kg DM / ha ),2104
Average growth rates ( kg DM / ha / day ),25
Round length ( whole farm / grass area ),60/55
Soil temperature ( average oc @ 100mm depth ),12.7
Soil moisture deficit ( 0-300mm depth ),1.6
kg DM pasture offered dry cows / milkers,D - 6 / M - 14
kg DM silage / hay fed- average all cows,2.6
kg DM PKE fed - average all cows,1.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),142
kg N applied / ha YTD,0
FEI grade result,4.7
Excellence Quality,469
Protein : Fat ratio,0.9
SCC,164
