col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,13/03/2023
Number of cows on farm,350
Cows in milk,349
Average kg MS / cow / day,1.24
kg MS / ha / day,3.02
kg MS / cow YTD,365
kg MS / ha YTD,989
Average pasture cover ( kg DM / ha ),2199
Average growth rates ( kg DM / ha / day ),38
Round length ( whole farm / grass area ),39/34
Soil temperature ( average ° C @ 100mm depth ),21.5
Soil moisture deficit ( 0-300mm depth ),6.63
kg DM pasture offered dry cows / milkers,D - 0 / M - 13.5
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,3.0
kg DM crop fed - average all cows,4.0
YTD supplement used ( kg DM / cow ),698
kg N applied / ha YTD,80
FEI grade result,8.2
Excellence Quality,64%
Protein : Fat ratio,0.7
SCC,334
