col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,27/11/2023
Number of cows on farm,342
Cows in milk,342
Average kg MS / cow / day,1.72
kg MS / ha / day,4.13
kg MS / cow YTD,225
kg MS / ha YTD,586
Average pasture cover ( kg DM / ha ),2397
Average growth rates ( kg DM / ha / day ),71
Round length ( whole farm / grass area ),26/23
Soil temperature ( average oC @ 100mm depth ),20.6
Soil moisture deficit ( 0-300mm depth ),0.6
kg DM pasture offered dry cows / milkers,D - 0 / M - 18.5
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.8
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),464
kg N applied / ha YTD,57
FEI grade result,4.4
Excellence Quality,83%
Protein : Fat ratio,0.8
SCC,119
