col1,col3
WEEK ENDING,This week
KEY FIGURES FOR WEEK,20/02/2023
Number of cows on farm,351
Cows in milk,350
Average kg MS / cow / day,1.24
kg MS / ha / day,3.08
kg MS / cow YTD,342
kg MS / ha YTD,927
Average pasture cover ( kg DM / ha ),2264
Average growth rates ( kg DM / ha / day ),49
Round length ( whole farm / grass area ),37/32
Soil temperature ( average ° C @ 100mm depth ),21.9
Soil moisture deficit ( 0-300mm depth ),1.0
kg DM pasture offered dry cows / milkers,D - O / M - 15
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,2.0
kg DM crop fed - average all cows,3.0
YTD supplement used ( kg DM / cow ),576
kg N applied / ha YTD,78
FEI grade result,4.5
Excellence Quality,70%
Protein : Fat ratio,0.7
SCC,243
