col1,col3
KEY FIGURES FOR WEEK ENDING,This week
KEY FIGURES FOR WEEK ENDING,23/01/2023
Number of cows on farm,351
Cows in milk,350
Average kg MS / cow / day,1.25
kg MS / ha / day,3.14
kg MS / cow YTD,311
kg MS / ha YTD,844
Average pasture cover ( kg DM / ha ),2386
Average growth rates ( kg DM / ha / day ),60
Round length ( whole farm / grass area ),28/25
Soil temperature ( average ° C @ 100mm depth ),24.3
Soil moisture deficit ( 0-300mm depth ),3.4
kg DM pasture offered dry cows / milkers,D - 0 / M - 19.47
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,3.0
YTD supplement used ( kg DM / cow ),483
kg N applied / ha YTD,81
FEI grade result,4.7
Excellence Quality,79%
Protein : Fat ratio,0.8
