col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,18/9/2023
Number of cows on farm,346
Cows in milk,342
Average kg MS / cow / day,2.09
kg MS / ha / day,5.04
kg MS / cow YTD,95
kg MS / ha YTD,244
Average pasture cover ( kg DM / ha ),2029
Average growth rates ( kg DM / ha / day ),54
Round length ( whole farm / grass area ),22/21
Soil temperature ( average oC 100mm depth ),14.4
Soil moisture deficit ( 0-300mm depth ),1.8
kg DM pasture offered dry cows / milkers,D - 9 / M - 17
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,2.5
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),451
kg N applied / ha YTD,37
FEI grade result,7.5
Excellence Quality,85%
Protein : Fat ratio,0.8
SCC,122
