col1,col3
KEY FIGURES FOR WEEK ENDING,This week
KEY FIGURES FOR ENDING,20/03/2023
Number of cows on farm,350
Cows in milk,349
Average kg MS / cow / day,1.17
kg MS / ha / day,2.86
kg MS / cow YTD,373
kg MS / ha YTD,1011
Average pasture cover ( kg DM / ha ),2159
Average growth rates ( kg DM / ha / day ),36
Round length ( whole farm / grass area ),40/35
Soil temperature ( average ° C @ 100mm depth ),20.4
Soil moisture deficit ( 0-300mm depth ),5.6
kg DM pasture offered dry cows / milkers,D - 0 / M - 13
kg DM silage / hay fed - average all cows,1.4
kg DM PKE fed - average all cows,2.3
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),722
kg N applied / ha YTD,82
FEI grade result,7.6
Excellence Quality,62%
Protein : Fat ratio,0.7
SCC,322
