col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,31/7/2023
Number of cows on farm,354
Cows in milk,232
Average kg MS / cow / day,1.71
kg MS / ha / day,2.52
kg MS / cow YTD,17
kg MS / ha YTD,44
Average pasture cover ( kg DM / ha ),2054
Average growth rates ( kg DM / ha / day ),26
Round length ( whole farm / grass area ),61/60
Soil temperature ( average oc @ 100mm depth ),10.0
Soil moisture deficit ( 0-300mm depth ),0.7
kg DM pasture offered dry cows / milkers,D - 5.5 / M - 10
kg DM silage / hay fed - average all cows,4.0
kg DM PKE fed - average all cows,2.6
kg DM crop fed- average all cows,0.0
YTD supplement used ( kg DM / cow ),224
kg N applied / ha YTD,11
FEI grade result,4.7
Excellence Quality,65%
Protein : Fat ratio,0.8
SCC,73
