col1,col3
,This Week
KEY FIGURES FOR WEEK ENDING,12/6/2023
Number of cows on farm,360
Cows in milk,0
Average kg MS / cow / day,0.00
kg MS / ha / day,0.00
kg MS / cow YTD,0
kg MS / ha YTD,0
Average pasture cover ( kg DM / ha ),2145
Average growth rates ( kg DM / ha / day ),29
Round length ( whole farm / grass area ),79/73
Soil temperature ( average oC @ 100mm depth ),11.8
Soil moisture deficit ( 0-300mm depth ),-1.48
kg DM pasture offered dry cows / milkers,D - 9 / M - 0
kg DM silage / hay fed - average all cows,1.4
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),27
kg N applied / ha YTD,0
FEI grade result,0.0
Excellence Quality,0%
Protein : Fat ratio,0.0
SCC,0
