03_04_2023-0-png,
col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,3/04/2023
Number of cows on farm,336
Cows in milk,264
Average kg MS / cow / day,1.17
kg MS / ha / day,2.28
kg MS / cow YTD,384
kg MS / ha YTD,1041
Average pasture cover ( kg DM / ha ),2176
Average growth rates ( kg DM / ha / day ),41
Round length ( whole farm / grass area ),42/37
Soil temperature ( average ° C @ 100mm depth ),18.5
Soil moisture deficit ( 0-300mm depth ),4.7
kg DM pasture offered dry cows / milkers,D - 8 / M - 16.25
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.5
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),748
kg N applied / ha YTD,83
FEI grade result,6.6
Excellence Quality,59%
Protein : Fat ratio,0.8
SCC,307
