col1,col3
KEY FIGURES FOR WEEK ENDING,Last week
KEY FIGURES FOR WEEK ENDING,22/1/2024
Number of cows on farm,335
Cows in milk,335
Average kg MS / cow / day,1.31
kg MS / ha / day,3.00
kg MS / cow YTD,307
kg MS / ha YTD,801
Average pasture cover ( kg DM / ha ),2307
Average growth rates ( kg DM / ha / day ),54
Round length ( whole farm / grass area ),36/32
Soil temperature ( average oc @ 100mm depth ),25.6
Soil moisture deficit ( 0-300mm depth ),13.9
kg DM pasture offered dry cows / milkers,D - 0 / M - 14
kg DM silage / hay fed- average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,4.0
YTD supplement used ( kg DM / cow ),574
kg N applied / ha YTD,68
FEI grade result,4.5
Excellence Quality,76%
Protein : Fat ratio,0.7
SCC,260
