col1,col3
KEY FIGURES FOR WEEK ENDING,This week
WEEK,17/04/2023
Number of cows on farm,336
Cows in milk,188
Average kg MS / cow / day,1.04
kg MS / ha / day,1.68
kg MS / cow YTD,418
kg MS / ha YTD,1067
Average pasture cover ( kg DM / ha ),2191
Average growth rates ( kg DM / ha / day ),48
Round length ( whole farm / grass area ),53/46
Soil temperature ( average ° C @ 100mm depth ),18.1
Soil moisture deficit ( 0-300mm depth ),2.2
kg DM pasture offered dry cows / milkers,D - 6 / M - 12
kg DM silage / hay fed - average all cows,5.0
kg DM PKE fed - average all cows,2.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),804
kg N applied / ha YTD,88
FEI grade result,4.2
Excellence Quality,56%
Protein : Fat ratio,0.7
SCC,206
