col1,col3
KEY FIGURES FOR WEEK ENDING,This week
,13/02/2023
Number of cows on farm,351
Cows in milk,350
Average kg MS / cow / day,1.24
kg MS / ha / day,3.07
kg MS / cow YTD,333
kg MS / ha YTD,904
Average pasture cover ( kg DM / ha ),2255
Average growth rates ( kg DM / ha / day ),49
Round length ( whole farm / grass area ),29/26
Soil temperature ( average ° C @ 100mm depth ),22.5
Soil moisture deficit ( 0-300mm depth ),0.5
kg DM pasture offered dry cows / milkers,D - O / M - 17.7
kg DM silage / hay fed - average all cows,0.4
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,3.0
YTD supplement used ( kg DM / cow ),543
kg N applied / ha YTD,78
FEI grade result,4.7
Excellence Quality,72 % 6
Protein : Fat ratio,0.7
SCC,328
