col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,9/10/2023
Number of cows on farm,346
Cows in milk,343
Average kg MS / cow / day,2.02
kg MS / ha / day,4.94
kg MS / cow YTD,138
kg MS / ha YTD,354
Average pasture cover ( kg DM / ha ),2247
Average growth rates ( kg DM / ha / day ),57
Round length ( whole farm / grass area ),26/25
Soil temperature ( average oC @ 100mm depth ),15.8
Soil moisture deficit ( 0-300mm depth ),3.1
kg DM pasture offered dry cows / milkers,D - 0 / M - 20
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),458
kg N applied / ha YTD,40
FEI grade result,4.6
Excellence Quality,87%
Protein : Fat ratio,0.8
SCC,115
