col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,21/8/2023
Number of cows on farm,353
Cows in milk,319
Average kg MS / cow / day,1.95
kg MS / ha / day,3.96
kg MS / cow YTD,46
kg MS / ha YTD,118
Average pasture cover ( kg DM / ha ),1883
Average growth rates ( kg DM / ha / day ),32
Round length ( whole farm / grass area ),32/31
Soil temperature ( average oc @ 100mm depth ),11.2
Soil moisture deficit ( 0-300mm depth ),3.7
kg DM pasture offered dry cows / milkers,D - 5 / M - 14
kg DM silage / hay fed - average all cows,0.5
kg DM PKE fed - average all cows,4.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),334
kg N applied / ha YTD,28
FEI grade result,7.4
Excellence Quality,78%
Protein : Fat ratio,0.7
SCC,75
