col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,24/7/2023
Number of cows on farm,354
Cows in milk,208
Average kg MS / cow / day,1.72
kg MS / ha / day,2.03
kg MS / cow YTD,10
kg MS / ha YTD,27
Average pasture cover ( kg DM / ha ),2075
Average growth rates ( kg DM / ha / day ),33
Round length ( whole farm / grass area ),62/58
Soil temperature ( average oC @ 100mm depth ),11.7
Soil moisture deficit ( 0-300mm depth ),0.2
kg DM pasture offered dry cows / milkers,D - 5 / M - 10
kg DM silage / hay fed - average all cows,3.5
kg DM PKE fed - average all cows,1.8
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),178
kg N applied / ha YTD,0
FEI grade result,4.6
Excellence Quality,47%
Protein : Fat ratio,0.8
SCC,194
