col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,2/10/2023
Number of cows on farm,346
Cows in milk,344
Average kg MS / cow / day,2.04
kg MS / ha / day,5.01
kg MS / cow YTD,125
kg MS / ha YTD,320
Average pasture cover ( kg DM / ha ),2155
Average growth rates ( kg DM / ha / day ),61
Round length ( whole farm / grass area ),25/24
Soil temperature ( average oC @ 100mm depth ),15.3
Soil moisture deficit ( 0-300mm depth ),5.28
kg DM pasture offered dry cows / milkers,D - 0 / M - 19.9
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),458
kg N applied / ha YTD,40
FEI grade result,5.2
Excellence Quality,86%
Protein : Fat ratio,0.8
SCC,127
