col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,4/9/2023
Number of cows on farm,346
Cows in milk,328
Average kg MS / cow / day,2.00
kg MS / ha / day,4.58
kg MS / cow YTD,69
kg MS / ha YTD,176
Average pasture cover ( kg DM / ha ),1855
Average growth rates ( kg DM / ha / day ),42
Round length ( whole farm / grass area ),22/22
Soil temperature ( average oc @ 100mm depth ),11.9
Soil moisture deficit ( 0-300mm depth ),0
kg DM pasture offered dry cows / milkers,D - 5 / M - 16
kg DM silage / hay fed - average all cows,0.3
kg DM PKE fed - average all cows,5.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),399
kg N applied / ha YTD,33
FEI grade result,7.2
Excellence Quality,8196
Protein : Fat ratio,0.8
SCC,107
