col1,col3
KEY FIGURES FOR WEEK ENDING,This Week
KEY FIGURES FOR WEEK ENDING,8/5/2023
Number of cows on farm,360
Cows in milk,177
Average kg MS / cow / day,0.90
kg MS / ha / day,1.14
kg MS / cow YTD,429
kg MS / ha YTD,1094
Average pasture cover ( kg DM / ha ),2387
Average growth rates ( kg DM / ha / day ),58
Round length ( whole farm / grass area ),52/45
Soil temperature ( average oC @ 100mm depth ),19.0
Soil moisture deficit ( 0-300mm depth ),0.5
kg DM pasture offered dry cows / milkers,D - 9.7 / M - 18.82
kg DM silage / hay fed - average all cows,1.6
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),890
kg N applied / ha YTD,90
FEI grade result,6.1
Excellence Quality,5296
Protein : Fat ratio,0.7
SCC,237
