col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,11/9/2023
Number of cows on farm,346
Cows in milk,336
Average kg MS / cow / day,2.07
kg MS / ha / day,4.78
kg MS / cow YTD,81
kg MS / ha YTD,209
Average pasture cover ( kg DM / ha ),1901
Average growth rates ( kg DM / ha / day ),57
Round length ( whole farm / grass area ),19/19
Soil temperature ( average oC 100mm depth ),14.5
Soil moisture deficit ( 0-300mm depth ),0.2
kg DM pasture offered dry cows / milkers,D - 5 / M - 16
kg DM silage / hay fed - average all cows,0.3
kg DM PKE fed - average all cows,5.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),435
kg N applied / ha YTD,36
FEI grade result,7.9
Excellence Quality,83%
Protein : Fat ratio,0.8
SCC,102
