col1,col3
WEEK ENDING,This week
KEY FIGURES FOR WEEK,16/01/2023
Number of cows on farm,351
Cows in milk,350
Average kg MS / cow / day,1.37
kg MS / ha / day,3.46
kg MS / cow YTD,302
kg MS / ha YTD,820
Average pasture cover ( kg DM / ha ),2241
Average growth rates ( kg DM / ha / day ),66
Round length ( whole farm / grass area ),28/25
Soil temperature ( average ° C @ 100mm depth ),23.5
Soil moisture deficit ( 0-300mm depth ),0.9
kg DM pasture offered dry cows / milkers,D - 0 / M - 19.47
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,4.0
YTD supplement used ( kg DM / cow ),470
kg N applied / ha YTD,81
FEI grade result,4.3
Excellence Quality,83%
Protein : Fat ratio,0.7
SCC,214
