col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,23/10/2023
Number of cows on farm,345
Cows in milk,342
Average kg MS / cow / day,1.93
kg MS / ha / day,4.69
kg MS / cow YTD,164
kg MS / ha YTD,428
Average pasture cover ( kg DM / ha ),2417
Average growth rates ( kg DM / ha / day ),62
Round length ( whole farm / grass area ),33/29
Soil temperature ( average oC @ 100mm depth ),18.5
Soil moisture deficit ( 0-300mm depth ),0.5
kg DM pasture offered dry cows / milkers,D - 0 / M - 19
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),458
kg N applied / ha YTD,46
FEI grade result,4.4
Excellence Quality,88%
Protein : Fat ratio,0.8
SCC,111
