col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,6/11/2023
Number of cows on farm,345
Cows in milk,342
Average kg MS / cow / day,1.92
kg MS / ha / day,4.63
kg MS / cow YTD,189
kg MS / ha YTD,494
Average pasture cover ( kg DM / ha ),2190
Average growth rates ( kg DM / ha / day ),79
Round length ( whole farm / grass area ),35/31
Soil temperature ( average oC @ 100mm depth ),18.4
Soil moisture deficit ( 0-300mm depth ),0.8
kg DM pasture offered dry cows / milkers,D - 0 / M - 19
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),458
kg N applied / ha YTD,54
FEI grade result,4.5
Excellence Quality,86%
Protein : Fat ratio,0.8
SCC,151
