col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,24/4/2023
Number of cows on farm,287
Cows in milk,188
Average kg MS / cow / day,0.97
kg MS / ha / day,1.35
kg MS / cow YTD,423
kg MS / ha YTD,1078
Average pasture cover ( kg DM / ha ),2254
Average growth rates ( kg DM / ha / day ),48
Round length ( whole farm / grass area ),63/53
Soil temperature ( average oC @ 100mm depth ),17.2
Soil moisture deficit ( 0-300mm depth ),5.22
kg DM pasture offered dry cows / milkers,D - 5 / M - 12
kg DM silage / hay fed - average all cows,5.0
kg DM PKE fed - average all cows,1.5
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),838
kg N applied / ha YTD,90
FEI grade result,6.0
Excellence Quality,55%
Protein : Fat ratio,0.8
SCC,248
