col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,28/8/2023
Number of cows on farm,352
Cows in milk,321
Average kg MS / cow / day,1.91
kg MS / ha / day,4.26
kg MS / cow YTD,56
kg MS / ha YTD,144
Average pasture cover ( kg DM / ha ),1851
Average growth rates ( kg DM / ha / day ),35
Round length ( whole farm / grass area ),26/26
Soil temperature ( average oc @ 100mm depth ),11.0
Soil moisture deficit ( 0-300mm depth ),2.2
kg DM pasture offered dry cows / milkers,D - 5 / M - 15
kg DM silage / hay fed- average all cows,0.3
kg DM PKE fed - average all cows,4.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),363
kg N applied / ha YTD,28
FEI grade result,6.3
Excellence Quality,8196
Protein : Fat ratio,0.7
SCC,92
