col1,col3
KEY FIGURES FOR WEEK ENDING,This week
,6/03/2023
Number of cows on farm,350
Cows in milk,349
Average kg MS / cow / day,1.29
kg MS / ha / day,3.18
kg MS / cow YTD,358
kg MS / ha YTD,971
Average pasture cover ( kg DM / ha ),2204
Average growth rates ( kg DM / ha / day ),51
Round length ( whole farm / grass area ),31/27
Soil temperature ( average ° C @ 100mm depth ),21.7
Soil moisture deficit ( 0-300mm depth ),0
kg DM pasture offered dry cows / milkers,D- / M - 13.5
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,2.5
kg DM crop fed - average all cows,4.5
YTD supplement used ( kg DM / cow ),653
kg N applied / ha YTD,79
FEI grade result,7.7
Excellence Quality,66%
Protein : Fat ratio,1.7
SCC,333
