col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,14/8/2023
Number of cows on farm,353
Cows in milk,284
Average kg MS / cow / day,1.93
kg MS / ha / day,3.52
kg MS / cow YTD,35
kg MS / ha YTD,91
Average pasture cover ( kg DM / ha ),1951
Average growth rates ( kg DM / ha / day ),32
Round length ( whole farm / grass area ),40/39
Soil temperature ( average oc @ 100mm depth ),10.7
soil moisture deficit ( 0-300mm depth ),1.76
kg DM pasture offered dry cows / milkers,D - 5 / M - 13
kg DM silage / hay fed - average all cows,2.5
kg DM PKE fed - average all cows,3.3
kg DM crop fed- average all cows,0.0
YTD supplement used ( kg DM / cow ),304
kg N applied / ha YTD,22
FEI grade result,6.5
Excellence Quality,77%
Protein : Fat ratio,0.7
SCC,75
