col1,col3
KEY FIGURES FOR WEEK ENDING,This week
,27/02/2023
Number of cows on farm,350
Cows in milk,350
Average kg MS / cow / day,1.31
kg MS / ha / day,3.28
kg MS / cow YTD,349
kg MS / ha YTD,946
Average pasture cover ( kg DM / ha ),2174
Average growth rates ( kg DM / ha / day ),36
Round length ( whole farm / grass area ),34/30
Soil temperature ( average ° C @ 100mm depth ),22.4
Soil moisture deficit ( 0-300mm depth ),2.3
kg DM pasture offered dry cows / milkers,D - O / M - 15
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,2.0
kg DM crop fed - average all cows,3.0
YTD supplement used ( kg DM / cow ),608
kg N applied / ha YTD,79
FEI grade result,6.8
Excellence Quality,67%
Protein : Fat ratio,0.7
SCC,336
