col1,col3
KEY FIGURES FOR WEEK ENDING,This week
,27/03/2023
Number of cows on farm,350
Cows in milk,349
Average kg MS / cow / day,1.15
kg MS / ha / day,2.81
kg MS / cow YTD,379
kg MS / ha YTD,1027
Average pasture cover ( kg DM / ha ),2147
Average growth rates ( kg DM / ha / day ),43
Round length ( whole farm / grass area ),39/34
Soil temperature ( average ° C @ 100mm depth ),18.9
Soil moisture deficit ( 0-300mm depth ),2.1
kg DM pasture offered dry cows / milkers,D - 0 / M - 13
kg DM silage / hay fed - average all cows,2.0
kg DM PKE fed - average all cows,1.6
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),745
kg N applied / ha YTD,82
FEI grade result,6.8
Excellence Quality,60%
Protein : Fat ratio,0.7
SCC,370
