col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,29/5/2023
Number of cows on farm,360
Cows in milk,0
Average kg MS / cow / day,0.00
kg MS / ha / day,0.00
kg MS / cow YTD,432
kg MS / ha YTD,1102
Average pasture cover ( kg DM / ha ),2208
Average growth rates ( kg DM / ha / day ),35
Round length ( whole farm / grass area ),87/80
Soil temperature ( average oC @ 100mm depth ),14.2
Soil moisture deficit ( 0-300mm depth ),-2.4
kg DM pasture offered dry cows / milkers,D - 7.6 / M - 0
kg DM silage / hay fed - average all cows,2.0
kg DM PKE fed - average all cows,0.4
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),933
kg N applied / ha YTD,95
FEI grade result,0.0
Excellence Quality,51%
Protein : Fat ratio,0.0
SCC,0
