col1,col3
ENDING,This week
KEY FIGURES FOR WEEK ENDING,10/7/2023
Number of cows on farm,355
Cows in milk,129
Average kg MS / cow / day,1.60
kg MS / ha / day,0.76
kg MS / cow YTD,1
kg MS / ha YTD,3
Average pasture cover ( kg DM / ha ),2154
Average growth rates ( kg DM / ha / day ),24
Round length ( whole farm / grass area ),87/81
Soil temperature ( average oC @ 100mm depth ),12.1
Soil moisture deficit ( 0-300mm depth ),2.8
kg DM pasture offered dry cows / milkers,D - 6.5 / M - 12
kg DM silage / hay fed - average all cows,2.5
kg DM PKE fed - average all cows,1.3
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),118
kg N applied / ha YTD,0
FEI grade result,0.0
Excellence Quality,40%
Protein : Fat ratio,0.8
SCC,149
