col1,col3
KEY FIGURES FOR WEEK,This Week
KEY FIGURES FOR WEEK ENDING,22/5/2023
Number of cows on farm,360
Cows in milk,0
Average kg MS / cow / day,0.00
kg MS / ha / day,0.00
kg MS / cow YTD,432
kg MS / ha YTD,1102
Average pasture cover ( kg DM / ha ),2196
Average growth rates ( kg DM / ha / day ),39
Round length ( whole farm / grass area ),41/38
Soil temperature ( average oC @ 100mm depth ),14.6
Soil moisture deficit ( 0-300mm depth ),-2
kg DM pasture offered dry cows / milkers,D - 10 / M - 0
kg DM silage / hay fed - average all cows,2.0
kg DM PKE fed - average all cows,0.5
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),917
kg N applied / ha YTD,95
FEI grade result,0.0
Excellence Quality,5196
Protein : Fat ratio,0.0
SCC,0
