col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,16/10/2023
Number of cows on farm,345
Cows in milk,343
Average kg MS / cow / day,2.00
kg MS / ha / day,4.87
kg MS / cow YTD,151
kg MS / ha YTD,395
Average pasture cover ( kg DM / ha ),2343
Average growth rates ( kg DM / ha / day ),73
Round length ( whole farm / grass area ),28/24
Soil temperature ( average oC 100mm depth ),15.8
Soil moisture deficit ( 0-300mm depth ),1.27
kg DM pasture offered dry cows / milkers,D - 0 / M - 19.5
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),458
kg N applied / ha YTD,40
FEI grade result,4.5
Excellence Quality,87%
Protein : Fat ratio,0.8
SCC,111
