col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,8/1/2024
Number of cows on farm,342
Cows in milk,335
Average kg MS / cow / day,1.52
kg MS / ha / day,3.69
kg MS / cow YTD,290
kg MS / ha YTD,756
Average pasture cover ( kg DM / ha ),2404
Average growth rates ( kg DM / ha / day ),77
Round length ( whole farm / grass area ),33/29
Soil temperature ( average oC @ 100mm depth ),22.6
Soil moisture deficit ( 0-300mm depth ),5.09
kg DM pasture offered dry cows / milkers,D - 0 / M - 18
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,3.0
YTD supplement used ( kg DM / cow ),525
kg N applied / ha YTD,67
FEI grade result,4.3
Excellence Quality,80%
Protein : Fat ratio,0.8
SCC,204
