03_07_2023-0-png,
col1,col3
,This Week
KEY FIGURES FOR WEEK ENDING,3/7/2023
Number of cows on farm,359
Cows in milk,78
Average kg MS / cow / day,0.00
kg MS / ha / day,0.00
kg MS / cow YTD,0
kg MS / ha YTD,0
Average pasture cover ( kg DM / ha ),2138
Average growth rates ( kg DM / ha / day ),20
Round length ( whole farm / grass area ),86/80
Soil temperature ( average oC @ 100mm depth ),12.0
Soil moisture deficit ( 0-300mm depth ),-4.3
kg DM pasture offered dry cows / milkers,D - 6.5 / M - 12
kg DM silage / hay fed - average all cows,2.5
kg DM PKE fed - average all cows,1.3
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),92
kg N applied / ha YTD,0
FEI grade result,0.0
Excellence Quality,0%
Protein : Fat ratio,0.0
SCC,0
