col1,col3
WEEK ENDING,This week
KEY,6/02/2023
Number of cows on farm,351
Cows in milk,350
Average kg MS / cow / day,1.19
kg MS / ha / day,2.99
kg MS / cow YTD,327
kg MS / ha YTD,886
Average pasture cover ( kg DM / ha ),2278
Average growth rates ( kg DM / ha / day ),56
Round length ( whole farm / grass area ),28/25
Soil temperature ( average ° C @ 100mm depth ),23.7
Soil moisture deficit ( 0-300mm depth ),1.97
kg DM pasture offered dry cows / milkers,D - 0 / M - 19.2
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed - average all cows,3.0
YTD supplement used ( kg DM / cow ),521
kg N applied / ha YTD,78
FEI grade result,4.7
Excellence Quality,74%
Protein : Fat ratio,0.7
SCC,262
