col1,col3
,This week
KEY FIGURES FOR WEEK ENDING,15/1/2024
Number of cows on farm,335
Cows in milk,335
Average kg MS / cow / day,1.43
kg MS / ha / day,3.38
kg MS / cow YTD,298
kg MS / ha YTD,776
Average pasture cover ( kg DM / ha ),2321
Average growth rates ( kg DM / ha / day ),68
Round length ( whole farm / grass area ),42/37
Soil temperature ( average oc @ 100mm depth ),25.7
soil moisture deficit ( 0-300mm depth ),12.1
kg DM pasture offered dry cows / milkers,D - 0 / M - 14
kg DM silage / hay fed - average all cows,0.0
kg DM PKE fed - average all cows,0.0
kg DM crop fed- average all cows,3.5
YTD supplement used ( kg DM / cow ),548
kg N applied / ha YTD,67
FEI grade result,4.5
Excellence Quality,78%
Protein : Fat ratio,0.8
SCC,186
