col1,col3
KEY FIGURES FOR WEEK ENDING,This week
,5/6/2023
Number of cows on farm,360
Cows in milk,0
Average kg MS / cow / day,0.00
kg MS / ha / day,0.00
kg MS / cow YTD,0
kg MS / ha YTD,0
Average pasture cover ( kg DM / ha ),2264
Average growth rates ( kg DM / ha / day ),40
Round length ( whole farm / grass area ),76/70
Soil temperature ( average oC @ 100mm depth ),14.7
Soil moisture deficit ( 0-300mm depth ),-2.12
kg DM pasture offered dry cows / milkers,D - 9.6 / M - 0
kg DM silage / hay fed - average all cows,2.0
kg DM PKE fed - average all cows,0.4
kg DM crop fed - average all cows,0.0
YTD supplement used ( kg DM / cow ),17
kg N applied / ha YTD,0
FEI grade result,0.0
Excellence Quality,96
Protein : Fat ratio,0.0
SCC,0
