KEY FIGURES FOR WEEK ENDING,This week
KEY FIGURES FOR WEEK ENDING,342
Cows in milk,342
Average kg MS/cow/day,1.6
kg MS/ha/day,3.89
kg MS/cow YTD,270
kg MS/ha YTD,703
Average pasture cover (kg DM/ha),2308
Average growth rates (kg DM/ha/day),73
Round length (whole farm/grass area),30/27
Soil temperature (average oC @ 100mm depth),23.5
Soil moisture deficit (0-300mm depth),10.31
kg DM pasture offered dry cows/milkers,D-0/M-18
kg DM silage/hay fed-average all cows,0
kg DM PKE fed- average all cows,0
kg DM crop fed- average all cows,2
YTD supplement used (kg DM/cow),482
kg N applied/ha YTD,67
FEI grade result,5.6
Excellence Quality,83%
Protein : Fat ratio,0.8
SCC,120
